Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 12:57:30,517	0,0000975111	OFF	3,234	3,366	0
17.05.22 12:57:30,713	0,0001268011	OFF	3,234	3,366	0
17.05.22 12:57:30,913	0,0001276799	OFF	3,234	3,366	0
17.05.22 12:57:31,124	0,0001587412	OFF	3,234	3,366	0
17.05.22 12:57:31,320	0,0001145505	OFF	3,234	3,366	0
17.05.22 12:57:31,513	0,0001269526	OFF	3,234	3,366	0
17.05.22 12:57:31,713	0,0001252996	OFF	3,234	3,366	0
17.05.22 12:57:31,913	0,0001258383	OFF	3,234	3,366	0
17.05.22 12:57:32,113	0,0001254864	OFF	3,234	3,366	0
17.05.22 12:57:32,313	0,0001253443	OFF	3,234	3,366	0
17.05.22 12:57:32,513	0,0001247132	OFF	3,234	3,366	0
Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 12:57:34,734	0,0001064631	OFF	3,234	3,366	0
17.05.22 12:57:34,930	0,0001520014	OFF	3,234	3,366	0
17.05.22 12:57:35,136	0,0001000632	OFF	3,234	3,366	0
17.05.22 12:57:35,330	0,0001513027	OFF	3,234	3,366	0
17.05.22 12:57:35,531	0,0001574284	OFF	3,234	3,366	0
17.05.22 12:57:35,730	0,0001510943	OFF	3,234	3,366	0
17.05.22 12:57:35,931	0,0001569091	OFF	3,234	3,366	0
Start programm
Time	Voltage Measurement, V	Подсчет Vout?	 Vout_min	Vout_max	№ Vout 
17.05.22 13:20:24,646	0,0000434936	OFF	3,234	3,366	0
17.05.22 13:20:24,846	0,0000604292	OFF	3,234	3,366	0
17.05.22 13:20:25,042	0,0002550107	OFF	3,234	3,366	0
17.05.22 13:20:25,243	0,0002972905	OFF	3,234	3,366	0
17.05.22 13:20:25,442	0,0003766689	OFF	3,234	3,366	0
17.05.22 13:20:25,642	0,0003967838	OFF	3,234	3,366	0
17.05.22 13:20:25,842	0,000344762	OFF	3,234	3,366	0
17.05.22 13:20:26,042	0,0003687258	OFF	3,234	3,366	0
17.05.22 13:20:26,242	0,0004001688	OFF	3,234	3,366	0
17.05.22 13:20:26,442	0,0004800374	OFF	3,234	3,366	0
17.05.22 13:20:26,661	0,000474376	OFF	3,234	3,366	0
17.05.22 13:20:26,842	0,0004235627	OFF	3,234	3,366	0
17.05.22 13:20:27,042	0,0004392288	OFF	3,234	3,366	0
17.05.22 13:20:27,242	0,0004668157	OFF	3,234	3,366	0
17.05.22 13:20:27,442	0,0005463565	OFF	3,234	3,366	0
17.05.22 13:20:27,642	0,0005519551	OFF	3,234	3,366	0
17.05.22 13:20:27,842	0,0004804345	OFF	3,234	3,366	0
17.05.22 13:20:28,042	0,0004950924	OFF	3,234	3,366	0
17.05.22 13:20:28,242	0,0005207089	OFF	3,234	3,366	0
17.05.22 13:20:28,442	0,0006143702	OFF	3,234	3,366	0
17.05.22 13:20:28,643	0,0006329711	OFF	3,234	3,366	0
17.05.22 13:20:28,842	0,0005247463	OFF	3,234	3,366	0
17.05.22 13:20:29,042	0,0005348168	OFF	3,234	3,366	0
17.05.22 13:20:29,262	0,0005182587	OFF	3,234	3,366	0
17.05.22 13:20:29,442	0,0006777758	OFF	3,234	3,366	0
17.05.22 13:20:29,642	0,0006862626	OFF	3,234	3,366	0
17.05.22 13:20:29,842	0,0005683549	OFF	3,234	3,366	0
17.05.22 13:20:30,042	0,0005786367	OFF	3,234	3,366	0
17.05.22 13:20:30,242	0,0006151944	OFF	3,234	3,366	0
17.05.22 13:20:30,442	0,0007564069	OFF	3,234	3,366	0
17.05.22 13:20:30,642	0,0007861949	OFF	3,234	3,366	0
17.05.22 13:20:30,842	0,0006002638	OFF	3,234	3,366	0
17.05.22 13:20:31,042	0,0006017697	OFF	3,234	3,366	0
17.05.22 13:20:31,243	0,0006258333	OFF	3,234	3,366	0
17.05.22 13:20:31,442	0,0008108629	OFF	3,234	3,366	0
17.05.22 13:20:31,642	0,0008235999	OFF	3,234	3,366	0
17.05.22 13:20:31,842	0,0006231632	OFF	3,234	3,366	0
17.05.22 13:20:32,042	0,0006360682	OFF	3,234	3,366	0
17.05.22 13:20:32,242	0,0006764864	OFF	3,234	3,366	0
17.05.22 13:20:32,442	0,0010017699	OFF	3,234	3,366	0
17.05.22 13:20:32,645	0,0006420771	OFF	3,234	3,366	0
17.05.22 13:20:32,842	0,0006644852	OFF	3,234	3,366	0
17.05.22 13:20:33,043	0,0006558601	OFF	3,234	3,366	0
17.05.22 13:20:33,242	0,0006947815	OFF	3,234	3,366	0
17.05.22 13:20:33,443	0,0009990934	OFF	3,234	3,366	0
17.05.22 13:20:33,642	0,0009872739	OFF	3,234	3,366	0
17.05.22 13:20:33,842	0,0006608512	OFF	3,234	3,366	0
17.05.22 13:20:34,046	0,0005292192	OFF	3,234	3,366	0
17.05.22 13:20:34,243	0,0007073949	OFF	3,234	3,366	0
17.05.22 13:20:34,443	NaN	OFF	3,234	3,366	0
17.05.22 13:20:34,643	NaN	OFF	3,234	3,366	0
17.05.22 13:20:34,856	0,0002572473	OFF	3,234	3,366	0
17.05.22 13:20:35,043	0,0006723739	OFF	3,234	3,366	0
17.05.22 13:20:35,243	0,000636437	OFF	3,234	3,366	0
17.05.22 13:20:35,443	0,000991964	OFF	3,234	3,366	0
17.05.22 13:20:35,643	0,0009792019	OFF	3,234	3,366	0
17.05.22 13:20:35,843	0,0006716768	OFF	3,234	3,366	0
17.05.22 13:20:36,043	0,0006773087	OFF	3,234	3,366	0
17.05.22 13:20:36,243	0,0007200187	OFF	3,234	3,366	0
17.05.22 13:20:36,443	0,0010413817	OFF	3,234	3,366	0
17.05.22 13:20:36,642	NaN	OFF	3,234	3,366	0
17.05.22 13:20:36,842	0,000695158	OFF	3,234	3,366	0
17.05.22 13:20:37,042	0,0006702538	OFF	3,234	3,366	0
17.05.22 13:20:37,242	0,0006888914	OFF	3,234	3,366	0
17.05.22 13:20:37,441	0,000665996	OFF	3,234	3,366	0
17.05.22 13:20:37,648	0,0005627269	OFF	3,234	3,366	0
17.05.22 13:20:37,841	0,0005547411	OFF	3,234	3,366	0
17.05.22 13:20:38,042	0,0005411754	OFF	3,234	3,366	0
17.05.22 13:20:38,241	0,0005481419	OFF	3,234	3,366	0
17.05.22 13:20:38,441	0,0006023609	OFF	3,234	3,366	0
17.05.22 13:20:38,641	0,0005749105	OFF	3,234	3,366	0
17.05.22 13:20:38,841	0,0005023539	OFF	3,234	3,366	0
17.05.22 13:20:39,041	0,0005011268	OFF	3,234	3,366	0
17.05.22 13:20:39,241	0,0005188669	OFF	3,234	3,366	0
17.05.22 13:20:39,442	0,0005713908	OFF	3,234	3,366	0
17.05.22 13:20:39,642	0,0005761287	OFF	3,234	3,366	0
17.05.22 13:20:39,842	0,0005035904	OFF	3,234	3,366	0
17.05.22 13:20:40,042	0,0004927293	OFF	3,234	3,366	0
17.05.22 13:20:40,242	0,0004950283	OFF	3,234	3,366	0
17.05.22 13:20:40,442	0,000519447	OFF	3,234	3,366	0
17.05.22 13:20:40,642	0,0005000156	OFF	3,234	3,366	0
17.05.22 13:20:40,842	0,0004481717	OFF	3,234	3,366	0
17.05.22 13:20:41,042	0,0004451438	OFF	3,234	3,366	0
17.05.22 13:20:41,242	0,0004585283	OFF	3,234	3,366	0
17.05.22 13:20:41,442	0,0004879347	OFF	3,234	3,366	0
17.05.22 13:20:41,642	0,0004890421	OFF	3,234	3,366	0
17.05.22 13:20:41,842	0,0004453356	OFF	3,234	3,366	0
17.05.22 13:20:42,053	0,000407194	OFF	3,234	3,366	0
17.05.22 13:20:42,242	0,0004447345	OFF	3,234	3,366	0
17.05.22 13:20:42,443	0,0005548444	OFF	3,234	3,366	0
17.05.22 13:20:42,642	0,0004452488	OFF	3,234	3,366	0
17.05.22 13:20:42,857	0,000262676	OFF	3,234	3,366	0
17.05.22 13:20:43,042	0,0003981687	OFF	3,234	3,366	0
17.05.22 13:20:43,242	0,0004118719	OFF	3,234	3,366	0
17.05.22 13:20:43,443	0,0004310018	OFF	3,234	3,366	0
17.05.22 13:20:43,642	0,0004382499	OFF	3,234	3,366	0
17.05.22 13:20:43,842	0,0004044988	OFF	3,234	3,366	0
17.05.22 13:20:44,043	0,0003472829	OFF	3,234	3,366	0
17.05.22 13:20:44,242	0,0004079297	OFF	3,234	3,366	0
17.05.22 13:20:44,443	0,000490249	OFF	3,234	3,366	0
17.05.22 13:20:44,642	0,0004039173	OFF	3,234	3,366	0
17.05.22 13:20:44,842	0,0003677999	OFF	3,234	3,366	0
17.05.22 13:20:45,046	0,0008382602	OFF	3,234	3,366	0
17.05.22 13:20:45,242	0,0003713828	OFF	3,234	3,366	0
17.05.22 13:20:45,442	0,0003868583	OFF	3,234	3,366	0
17.05.22 13:20:45,642	0,000394252	OFF	3,234	3,366	0
17.05.22 13:20:45,843	0,0003340849	OFF	3,234	3,366	0
17.05.22 13:20:46,098	0,0003145038	OFF	3,234	3,366	0
17.05.22 13:20:46,242	0,0003812252	OFF	3,234	3,366	0
17.05.22 13:20:46,442	0,0003855758	OFF	3,234	3,366	0
17.05.22 13:20:46,642	0,0003760874	OFF	3,234	3,366	0
17.05.22 13:20:46,842	0,0003442394	OFF	3,234	3,366	0
17.05.22 13:20:47,042	0,0003426642	OFF	3,234	3,366	0
17.05.22 13:20:47,294	0,0004491925	OFF	3,234	3,366	0
17.05.22 13:20:47,442	0,0003517796	OFF	3,234	3,366	0
17.05.22 13:20:47,642	0,0003621064	OFF	3,234	3,366	0
17.05.22 13:20:47,842	0,0003466556	OFF	3,234	3,366	0
17.05.22 13:20:48,042	0,0003556123	OFF	3,234	3,366	0
17.05.22 13:20:48,262	0,0003602378	OFF	3,234	3,366	0
